removed outliers,Pure Agent pr (100),,,,,,Pure human (100),,,,,,Statistical analysis,,
Metric,min,Q1,Median,Mean,Q3,Max,min,Q1,Median,Mean,Q3,Max,P-value,Effect size (delta),Effect label
time_to_close_hours,0.015277778,0.3304166666666666,0.6180555555555556,1.9114451476793244,5.770694444444445,225.80388888888888,0.003611111,2.5775,19.375,42.721369281045746,116.21444444444444,2638.228888888889,2.406966709447575e-10,-0.529245795,Large
time_to_close_days,0.000636574,0.013767361,0.025752315,0.079643548,0.2404456018518518,9.40849537,0.000150463,0.1073958333333333,0.8072916666666666,1.7800570533769065,4.842268518518519,109.9262037037037,2.406966709447575e-10,-0.529245795,Large
body_length,320,1982.75,2558,2649.9247311827958,3725.25,9754,0,327,835,1097.0531914893618,1695,15083,2.5753408319067443e-14,0.6284271284271284,Large
commits,1,2,3,3.5844155844155843,5,16,1,1,3,4.544444444444444,8.5,51,0.9653443174580919,0.003802733,Negligible
changed_files,0,2,5,5.9743589743589745,10,183,1,3,5,8.197674419,17,1003,0.085224013,-0.146999406,Negligible
additions,0,29,66,142.94666666666666,334,7207,0,26.5,98.5,220.72727272727272,491,359420,0.27273360898712407,-0.093998812,Negligible
deletions,0,14,45,98.56962025316456,229,2280,0,23.5,80,128.52380952380952,304.5,116298,0.069385634,-0.155555556,Small
code_churn,0,56,144.5,232.17567567567568,532,7252,1,69,245,351.2142857142857,847.5,418116,0.10198505871684076,-0.140106952,Negligible
review_iterations,0,0,0,0.9325842696629213,2,11,0,1,2,2.539325842696629,5,30,2.995600581984799e-07,-0.412286127,Medium
number_of_reviewers,0,1,1,1.574468085106383,3,9,0,1,3,3.3092783505154637,5,17,1.718489730651161e-05,-0.347866419,Medium
total_comments,0,0,1,2.3736263736263736,4.75,30,0,1,2.5,4.3,8,46,0.004403571,-0.232117089,Small
reviewer_workload_hours,0.009444444,0.1675925925925926,0.3302777777777778,2.2663389476941305,6.72875,397.1738888888889,0.015,1.2980555555555555,12.025638888888889,27.952375259934804,66.02083333333334,1144.1685925925926,4.342412074821483e-05,-0.425210084,Medium